type,limited,url,store,price,sale,rating
Oreo Mini Pokemon,no,https://www.walmart.com/ip/OREO-Mini-Chocolate-Sandwich-Cookies-12-Snack-Packs/10824297?wmlspartner=wlpa&selectedSellerId=0&wl13=2599&adid=2222222227710824297_117755028669_12420145346&wmlspartner=wmtlabs&wl0=&wl1=g&wl2=c&wl3=501107745824&wl4=pla-294505072980&wl5=9028096&wl6=&wl7=&wl8=&wl9=pla&wl10=8175035&wl11=local&wl12=10824297&wl13=2599&veh=sem_LIA&gclid=CjwKCAjwtKmaBhBMEiwAyINuwAK96qyxyaQMp07kZOFlcE5BSOKgOLkEnIpmu6L3dM9JqJH4xp3EXxoCKbsQAvD_BwE&gclsrc=aw.ds,walmart,5.88,177,4.6
oreo chocolate sandwich cookies,no,,amazon,4.28,32849,4.8
oreo chocolate sandwich cookies,no,https://www.oreo.com/oreo-cookie,oreo,4,6,3
oreo chocolate sandwich cookies,no,https://www.walmart.com/ip/OREO-Chocolate-Sandwich-Cookies-14-3-oz/23554583?wmlspartner=wlpa&selectedSellerId=0&wl13=3057&adid=2222222227723554583_117755028669_12420145346&wmlspartner=wmtlabs&wl0=&wl1=g&wl2=c&wl3=501107745824&wl4=pla-294505072980&wl5=9028096&wl6=&wl7=&wl8=&wl9=pla&wl10=8175035&wl11=local&wl12=23554583&wl13=3057&veh=sem_LIA&gclid=Cj0KCQjw166aBhDEARIsAMEyZh5-_diV7gWf7e10Y8FQIPHU4CHObdzib3Xta32wZBw4WTgUsQad3cwaAtjfEALw_wcB&gclsrc=aw.ds,walmart,3.78,293,4.6
oreo chocolate sandwich cookies,no,https://wrd.walmart.com/track?adUid=67005bb0-b4ae-4005-91d4-05ea0d01a800&tax=976759_976787_1001391_2392263&pltfm=desktop&pgId=oreo&spQs=_-78nmYTHtdl_qbQ3BvUJayE9rfXO-HkbZiakd3TIFFTTvdEnTpLip9coAcPuNVa-6Foo_LZBd78mJjt7ZK9Slds-5fOmcQ61R6yqU5Bgn4N7t_R9bKIo19w7KOdOoqjfS5xPTSXxGVlq84-mzZk_BkRGuGKZbEaiJqyLsJH8yBeFW45UP_hVJqlcsoqhyCK&storeId=3107&pt=search&mloc=sp-search-middle&bkt=2570&rdf=1&plmt=sp-search-middle~desktop~&eventST=click&pos=4&bt=1&rd=https%3A%2F%2Fwww.walmart.com%2Fip%2FOREO-Chocolate-Sandwich-Cookies-14-3-oz%2F23554583&couponState=na&/ip/OREO-Chocolate-Sandwich-Cookies-14-3-oz/23554583,walmart,3.78,293,4.6
"Brookie-O Brownie, Original & Cookie Dough Creme Chocolate Sandwich Cookies",yes,https://www.walmart.com/ip/OREO-Brookie-O-Brownie-Original-Cookie-Dough-Creme-Chocolate-Sandwich-Cookies-Limited-Edition-13-2-oz/639103261,walmart,4.28,82,4.6
"Brookie-O Brownie, Original & Cookie Dough Creme Chocolate Sandwich Cookies",yes,https://www.target.com/p/brookie-o-oreo-family-size-limited-edition-13-2oz/-/A-81549846?ref=tgt_adv_XS000000&AFID=google_pla_df_free_online&CPNG=Grocery&adgroup=71-9,target,4.39,78,4.3
"Brookie-O Brownie, Original & Cookie Dough Creme Chocolate Sandwich Cookies",yes,https://www.amazon.com/Oreo-BrookieO-Original-Sandwich-Chocolate/dp/B08LJJSWYS,amazon,9.2,718,4.3
"Brookie-O Brownie, Original & Cookie Dough Creme Chocolate Sandwich Cookies",yes,https://www.kroger.com/p/oreo-brookie-o-chocolate-sandwich-cookies/0004400006814,kroger,4.99,28,4.7
"Brookie-O Brownie, Original & Cookie Dough Creme Chocolate Sandwich Cookies",yes,,google,4.89,39,4.2
Mega Stuf Chocolate Sandwich Cookies,no,https://www.walmart.com/ip/OREO-Mega-Stuf-Chocolate-Sandwich-Cookies-Family-Size-17-6-oz/243943580,walmart,4.28,311,4.6
Mega Stuf Chocolate Sandwich Cookies,no,,google,4.28,38098,4.7
Mega Stuf Chocolate Sandwich Cookies,no,https://www.target.com/p/oreo-mega-stuf-family-size-sandwich-cookies-17-6oz/-/A-54163317,target,4.39,375,4.7
Mega Stuf Chocolate Sandwich Cookies,no,https://www.amazon.com/Oreo-Chocolate-Sandwich-Cookies-Ounce/dp/B00BKL52YC,amazon,5.31,690,4.4
"Orange Creme Chocolate Sandwich Cookies, Halloween Cookies",yes,https://www.walmart.com/ip/OREO-Orange-Creme-Chocolate-Sandwich-Cookies-Limited-Edition-Halloween-Cookies-1-25-lb/990994756,walmart,4.28,123,4.6
"Orange Creme Chocolate Sandwich Cookies, Halloween Cookies",yes,https://www.target.com/p/oreo-halloween-orange-colored-creme-chocolate-sandwich-cookies-family-size-20oz/-/A-52276086#lnk=sametab,target,4.39,224,4.8
"Orange Creme Chocolate Sandwich Cookies, Halloween Cookies",yes,https://www.instacart.com/landing?product_id=17623877&retailer_id=1278&utm_medium=sem_shopping&utm_source=instacart_google&utm_campaign=ad_demand_shopping_rp_food-pantry&utm_content=accountid-8145171519_campaignid-16074540121_adgroupid-131573614014_device-c&utm_term=targetid-pla-1461997246961&gclid=Cj0KCQjw166aBhDEARIsAMEyZh7JHYQOz5ACHtWx6vgaweMvVvGwG4-QXMOJ1GgL9ihEnxN0AGVsEQYaAiwREALw_wcB,instacart,5.69,72,4.6
"Orange Creme Chocolate Sandwich Cookies, Halloween Cookies",yes,https://www.amazon.com/Orange-Halloween-Chocolate-Sandwich-Cookies/dp/B09FHWNPHW,amazon,5.73,366,4.7
